"Congress Number","ICPSR ID","C3","State","Party Code","Name","Age","Conservativeness","Establishmentarianism","Freedom Caucus","zCons","zEst"
114,21376,*,"ALABAMA",200,"BYRNE",60,0.559,0.363,"No",0.4775077631314452,0.972879737214863
114,21192,*,"ALABAMA",200,"ROBY",39,0.347,0.699,"No",-0.8934126002993915,2.1890087158709646
114,20301,*,"ALABAMA",200,"ROGERS",57,0.332,0.51,"No",-0.9904116826176108,1.5049361653769076
114,29701,*,"ALABAMA",200,"ADERHOLT",50,0.356,0.672,"No",-0.8352131509084598,2.0912840658003855
114,21193,*,"ALABAMA",200,"BROOKS",61,0.587,-0.156,"Yes",0.6585727167921212,-0.9056052030307229
114,21500,*,"ALABAMA",200,"PALMER",61,0.727,-0.045,"Yes",1.5638974850955036,-0.5038483082961179
114,14066,*,"ALASKA",200,"YOUNG",82,0.279,-0.007,"No",-1.33314177347532,-0.36630991190048734
114,21501,*,"ARIZONA",200,"MCSALLY",49,0.273,0.156,"No",-1.3719414064026076,0.22365742000708594
114,21103,*,"ARIZONA",200,"GOSAR",56,0.573,-0.094,"Yes",0.5680402399617829,-0.6812004510167994
114,29500,*,"ARIZONA",200,"SALMON",57,0.698,-0.226,"Yes",1.3763659259469456,-1.158965406917411
114,21105,*,"ARIZONA",200,"SCHWEIKERT",53,0.654,-0.249,"Yes",1.0918352844801689,-1.2422123310516084
114,20304,*,"ARIZONA",200,"FRANKS",58,0.752,0.18,"Yes",1.7255626222925364,0.3105237756253789
114,21106,*,"ARKANSA",200,"CRAWFORD",49,0.341,0.506,"No",-0.932212233226679,1.4904584394405254
114,21503,*,"ARKANSA",200,"HILL",58,0.499,0.343,"No",0.08951143385856669,0.9004911075329523
114,21108,*,"ARKANSA",200,"WOMACK",58,0.322,0.613,"No",-1.055077737496424,1.8777376082387482
114,21301,*,"ARKANSA",200,"WESTERMAN",47,0.689,-0.361,"No",1.318166476556014,-1.647588657270309
114,21302,*,"CALIFOR",200,"LAMALFA",55,0.572,0.421,"No",0.5615736344739015,1.1828067632924044
114,20903,*,"CALIFOR",200,"MCCLINTOCK",59,0.767,-0.464,"No",1.822561704610756,-2.0203901001321496
114,21305,*,"CALIFOR",200,"COOK",72,0.442,0.215,"No",-0.2790850789506676,0.43720387756872287
114,21109,7110,"CALIFOR",200,"DENHAM",48,0.328,0.164,"No",-1.016278104569136,0.2526128718798503
114,21307,7121,"CALIFOR",200,"VALADAO",38,0.261,0.264,"No",-1.4495406722571833,0.6145560202894044
114,20307,7122,"CALIFOR",200,"NUNES",42,0.461,0.2,"No",-0.1562195746809227,0.3829124053072898
114,20703,7123,"CALIFOR",200,"MCCARTHY",50,0.459,0.246,"No",-0.16915278565668532,0.5494062535756846
114,21505,7125,"CALIFOR",200,"KNIGHT",48,0.463,0.213,"No",-0.14328636370516007,0.42996501460053177
114,29321,7139,"CALIFOR",200,"ROYCE",64,0.686,-0.324,"No",1.2987666600923706,-1.513669692358774
114,29323,7142,"CALIFOR",200,"CALVERT",62,0.349,0.207,"No",-0.8804793893236289,0.40824842569595854
114,21509,7145,"CALIFOR",200,"WALTERS",77,0.426,0.376,"No",-0.3825507667567685,1.019932346508105
114,15621,7148,"CALIFOR",200,"ROHRABAC",68,0.632,-0.355,"No",0.94956996374678,-1.6258720683657357
114,20107,7149,"CALIFOR",200,"ISSA",61,0.511,-0.02,"No",0.16711069971314238,-0.41336252119372935
114,20963,7150,"CALIFOR",200,"HUNTER",38,0.521,0.288,"No",0.2317767545919555,0.7014223759076973
114,21111,*,"COLORAD",200,"TIPTON",58,0.443,0.016,"No",-0.2726184734627863,-0.28306298776628985
114,21510,*,"COLORAD",200,"BUCK",56,0.696,-0.625,"Yes",1.3634327149711831,-2.603118569071532
114,20704,*,"COLORAD",200,"LAMBORN",61,0.69,0.277,"No",1.3246330820438952,0.6616086295826466
114,20906,*,"COLORAD",200,"COFFMAN",60,0.512,-0.125,"No",0.1735773052010237,-0.7934028270237613
114,20110,*,"FLORIDA",200,"MILLER",56,0.632,0.152,"No",0.94956996374678,0.20917969407070378
114,21317,*,"FLORIDA",200,"YOHO",60,0.721,-0.282,"No",1.525097852168216,-1.3616535700267611
114,20111,*,"FLORIDA",200,"CRENSHAW",71,0.338,0.299,"No",-0.951612049690323,0.7412361222327483
114,21318,*,"FLORIDA",200,"DESANTIS",37,0.676,-0.115,"Yes",1.2341006052135577,-0.7572085121828058
114,29331,*,"FLORIDA",200,"MICA",72,0.457,0.146,"No",-0.18208599663244793,0.1874631051661305
114,20909,*,"FLORIDA",200,"POSEY",67,0.489,-0.177,"Yes",0.024845378979753596,-0.9816132641967293
114,21116,4310,"FLORIDA",200,"WEBSTER",66,0.452,0.124,"No",-0.21441902407185448,0.10783561251602862
114,21115,4311,"FLORIDA",200,"NUGENT",64,0.491,0.116,"No",0.037778589955516216,0.07888016064326431
114,20758,4312,"FLORIDA",200,"BILIRAKI",52,0.384,0.114,"No",-0.6541481972477832,0.07164129767507323
114,21401,4313,"FLORIDA",200,"JOLLY",42,0.252,0.126,"No",-1.5077401216481152,0.1150744754842197
114,21117,4315,"FLORIDA",200,"ROSS",55,0.545,0.105,"No",0.3869752863011069,0.03906641431821332
114,20709,4316,"FLORIDA",200,"BUCHANAN",64,0.358,-0.11,"No",-0.8222799399326971,-0.739111354762328
114,20910,4317,"FLORIDA",200,"ROONEY",44,0.473,0.083,"No",-0.07862030882634735,-0.040561078331888566
114,21320,4319,"FLORIDA",200,"CLAWSON",56,0.67,-0.362,"Yes",1.1953009722862697,-1.6512080887544045
114,20316,4325,"FLORIDA",200,"DIAZ-BAL",54,0.284,0.091,"No",-1.3008087460359137,-0.011605626459124255
114,21512,4326,"FLORIDA",200,"CURBELO",35,0.19,0,"No",-1.908669661896756,-0.3409738915118185
114,15634,4327,"FLORIDA",200,"ROS-LEHT",63,0.251,-0.2,"No",-1.5142067271359965,-1.064860188330927
114,21513,*,"GEORGIA",200,"CARTER",58,0.665,0.134,"No",1.1629679448468633,0.14402992735698406
114,20506,*,"GEORGIA",200,"WESTMORE",65,0.677,0.221,"No",1.240567210701439,0.4589204664732962
114,20505,*,"GEORGIA",200,"PRICE",61,0.645,-0.01,"No",1.033635835089237,-0.3771682063527739
114,21122,*,"GEORGIA",200,"WOODALL",45,0.683,-0.276,"No",1.2793668436287269,-1.3399369811221882
114,21123,*,"GEORGIA",200,"SCOTT",70,0.596,0.324,"No",0.716772166183053,0.8317219093351369
114,21323,*,"GEORGIA",200,"COLLINS",49,0.666,0.014,"No",1.1694345503347445,-0.29030185073448095
114,21514,4410,"GEORGIA",200,"HICE",55,0.701,-0.213,"Yes",1.3957657424105896,-1.1119127976241687
114,21515,4411,"GEORGIA",200,"LOUDERMILK",51,0.731,-0.265,"Yes",1.5897639070470289,-1.3001232347971372
114,21516,4412,"GEORGIA",200,"ALLEN",54,0.582,0.384,"No",0.6262396893527146,1.0488877983808693
114,20962,4414,"GEORGIA",200,"GRAVES",45,0.796,-0.146,"No",2.010093263759314,-0.8694108881897675
114,21125,*,"IDAHO",200,"LABRADOR",47,0.735,-0.467,"Yes",1.615630328998554,-2.0312483945844364
114,29910,*,"IDAHO",200,"SIMPSON",65,0.298,0.273,"No",-1.2102762692055753,0.6471309036462644
114,20715,*,"ILLINOI",200,"ROSKAM",54,0.443,0.058,"No",-0.2726184734627863,-0.1310468654342771
114,21518,2110,"ILLINOI",200,"DOLD",46,0.155,-0.095,"No",-2.1350008539726013,-0.6848198825008949
114,21519,2112,"ILLINOI",200,"BOST",54,0.298,0.364,"No",-1.2102762692055753,0.9764991686989585
114,21328,2113,"ILLINOI",200,"DAVIS",45,0.31,0.013,"No",-1.1326770033509996,-0.2939212822185765
114,21129,2114,"ILLINOI",200,"HULTGREN",49,0.516,-0.019,"No",0.19944372715254893,-0.4097430897096338
114,29718,2115,"ILLINOI",200,"SHIMKUS",57,0.377,0.143,"No",-0.6994144356629523,0.17660481071384387
114,21128,2116,"ILLINOI",200,"KINZINGER",37,0.291,0.243,"No",-1.2555425076207445,0.538547959123398
114,20914,2118,"ILLINOI",200,"SCHOCK",34,0.317,0.139,"No",-1.0874107649358304,0.1621270847774618
114,21562,2118,"ILLINOI",200,"LAHOOD",69,0.526,-0.068,"No",0.26410978203136204,-0.5870952324303154
114,21330,*,"INDIANA",200,"WALORSKI",52,0.432,0.517,"No",-0.34375113382948064,1.5302721857655763
114,21100,*,"INDIANA",200,"STUTZMAN",39,0.744,-0.01,"Yes",1.673829778389486,-0.3771682063527739
114,21131,*,"INDIANA",200,"ROKITA",45,0.603,-0.025,"No",0.7620384045982221,-0.4314596786142071
114,21331,*,"INDIANA",200,"BROOKS",55,0.378,0.488,"No",-0.692947830175071,1.4253086727268056
114,21332,*,"INDIANA",200,"MESSER",46,0.564,0.084,"No",0.5098407905708511,-0.03694164684779302
114,21132,*,"INDIANA",200,"BUCSHON",53,0.404,0.347,"No",-0.524816087490157,0.9149688334693342
114,21133,*,"INDIANA",200,"YOUNG",43,0.499,0.149,"No",0.08951143385856669,0.19832139961841713
114,21520,*,"IOWA",200,"BLUM",60,0.536,-0.362,"Yes",0.3287758369101751,-1.6512080887544045
114,21521,*,"IOWA",200,"YOUNG",47,0.446,0.148,"No",-0.2532186569991423,0.19470196813432158
114,20325,*,"IOWA",200,"KING",66,0.618,0.433,"No",0.8590374869164418,1.2262399411015508
114,21134,*,"KANSAS",200,"HUELSKAMP",46,0.757,-0.343,"Yes",1.757895649731943,-1.5824388905565894
114,20915,*,"KANSAS",200,"JENKINS",52,0.528,0.028,"No",0.27704299300712465,-0.23962980995714336
114,21135,*,"KANSAS",200,"YODER",39,0.576,0.036,"No",0.5874400564254267,-0.21067435808437904
114,21136,*,"KANSAS",200,"POMPEO",51,0.671,0.297,"No",1.201767577774151,0.7339972592645572
114,29525,*,"KENTUCK",200,"WHITFIEL",72,0.303,0.199,"No",-1.1779432417661688,0.37929297382319427
114,20916,*,"KENTUCK",200,"GUTHRIE",51,0.377,0.361,"No",-0.6994144356629523,0.9656408742466719
114,31102,*,"KENTUCK",200,"MASSIE",44,0.625,-0.781,"No",0.9043037253316109,-3.1677498805904367
114,14854,*,"KENTUCK",200,"ROGERS",77,0.334,0.059,"No",-0.9774784716418482,-0.12742743395018158
114,21333,*,"KENTUCK",200,"BARR",42,0.447,0.319,"No",-0.246752051511261,0.8136247519146592
114,20759,*,"LOUISIA",200,"SCALISE",50,0.562,0.212,"No",0.49690757959508913,0.4263455831164362
114,20514,*,"LOUISIA",200,"BOUSTANY",59,0.396,0.266,"No",-0.5765489313932074,0.6217948832575955
114,20918,*,"LOUISIA",200,"FLEMING",64,0.574,0.089,"Yes",0.5745068454496641,-0.018844489427315345
114,21522,*,"LOUISIA",200,"ABRAHAM",61,0.415,0.632,"No",-0.4536834271234629,1.9465068064365636
114,21523,*,"LOUISIA",200,"GRAVES",43,0.53,0.078,"No",0.28997620398288726,-0.05865823575236628
114,21524,*,"MAINE",200,"POLIQUIN",61,0.468,-0.171,"No",-0.11095333626575353,-0.959896675292156
114,21139,*,"MARYLAN",200,"HARRIS",58,0.578,-0.125,"Yes",0.6003732674011894,-0.7934028270237613
114,21141,*,"MICHIGA",200,"BENISHEK",63,0.52,-0.251,"No",0.22531014910407418,-1.2494511940197994
114,21142,*,"MICHIGA",200,"HUIZENGA",46,0.661,-0.043,"No",1.137101522895338,-0.4966094453279268
114,21143,*,"MICHIGA",200,"AMASH",35,0.751,-0.66,"Yes",1.7190960168046552,-2.729798671014876
114,21526,*,"MICHIGA",200,"MOOLENAAR",54,0.436,0.427,"No",-0.3178847118779554,1.2045233521969776
114,15446,*,"MICHIGA",200,"UPTON",62,0.338,-0.431,"No",-0.951612049690323,-1.9009488611569967
114,20725,*,"MICHIGA",200,"WALBERG",64,0.534,0.028,"No",0.3158426259344125,-0.23962980995714336
114,21527,*,"MICHIGA",200,"BISHOP",48,0.473,0.234,"No",-0.07862030882634735,0.5059730757665383
114,20331,2310,"MICHIGA",200,"MILLER",61,0.341,0.019,"No",-0.932212233226679,-0.2722046933140032
114,21528,2311,"MICHIGA",200,"TROTT",54,0.385,0.464,"No",-0.6476815917599018,1.3384423171085127
114,20333,*,"MINNESO",200,"KLINE",68,0.501,0.108,"No",0.1024446448343293,0.049924708770499954
114,20924,*,"MINNESO",200,"PAULSEN",50,0.417,-0.167,"No",-0.44075021614770027,-0.945418949355774
114,21531,*,"MINNESO",200,"EMMER",54,0.445,-0.09,"No",-0.2596852624870236,-0.6667227250804172
114,21561,*,"MISSISS",200,"KELLY",49,0.56,0.357,"No",0.4839743686193265,0.9511631483102897
114,20925,*,"MISSISS",200,"HARPER",59,0.388,0.481,"No",-0.6282817752962578,1.3999726523381368
114,21148,*,"MISSISS",200,"PALAZZO",45,0.487,0.702,"No",0.011912168003990978,2.1998670103232514
114,21337,*,"MISSOUR",200,"WAGNER",53,0.456,0.355,"No",-0.18855260212032923,0.9439242853420986
114,20926,*,"MISSOUR",200,"LUETKEMEYE",63,0.45,0.255,"No",-0.2273522350476171,0.5819811369325445
114,21149,*,"MISSOUR",200,"HARTZLER",54,0.503,0.484,"No",0.11537785581009193,1.4108309467904234
114,20124,*,"MISSOUR",200,"GRAVES",51,0.438,0.162,"No",-0.3049515009021928,0.24537400891165922
114,21150,*,"MISSOUR",200,"LONG",60,0.595,0.442,"No",0.7103055606951716,1.2588148244584108
114,21373,*,"MISSOUR",200,"SMITH",35,0.582,0.349,"No",0.6262396893527146,0.9222076964375253
114,21532,*,"MONTANA",200,"ZINKE",53,0.413,0.058,"No",-0.46661663809922554,-0.1310468654342771
114,20518,*,"NEBRASK",200,"FORTENBE",54,0.296,-0.039,"No",-1.223209480181338,-0.4821317193915446
114,20729,*,"NEBRASK",200,"SMITH",44,0.506,0.26,"No",0.13477767227373585,0.6000782943530223
114,21196,*,"NEVADA",200,"AMODEI",57,0.407,0.163,"No",-0.5054162710265133,0.24899344039575474
114,21151,*,"NEVADA",200,"HECK",53,0.322,-0.028,"No",-1.055077737496424,-0.4423179730664937
114,21534,*,"NEVADA",200,"HARDY",58,0.385,0.324,"No",-0.6476815917599018,0.8317219093351369
114,21535,*,"NEW HAM",200,"GUINTA",45,0.43,-0.017,"No",-0.35668434480524325,-0.4025042267414427
114,29539,*,"NEW JER",200,"LOBIONDO",69,0.199,-0.168,"No",-1.850470212505824,-0.9490383808398695
114,21537,*,"NEW JER",200,"MACARTHUR",54,0.234,0.334,"No",-1.6241390204299788,0.8679162241760924
114,14863,*,"NEW JER",200,"SMITH",62,0.153,-0.181,"No",-2.1479340649483643,-0.9960909901331115
114,20336,*,"NEW JER",200,"GARRETT",56,0.691,-0.158,"Yes",1.3310996875317767,-0.912844065998914
114,20929,*,"NEW JER",200,"LANCE",63,0.334,-0.227,"No",-0.9774784716418482,-1.1625848384015065
114,29541,1211,"NEW JER",200,"FRELINGH",69,0.281,-0.299,"No",-1.3202085624995572,-1.4231839052563855
114,20337,*,"NEW MEX",200,"PEARCE",68,0.467,0.113,"Yes",-0.11741994175363483,0.06802186619097768
114,21539,*,"NEW YOR",200,"ZELDIN",35,0.272,0.081,"No",-1.378408011890489,-0.047799941300079654
114,29375,*,"NEW YOR",200,"KING",71,0.262,-0.037,"No",-1.443074066769302,-0.4748928564233535
114,21560,1311,"NEW YOR",200,"DONOVAN",58,0.2,0.181,"No",-1.8440036070179429,0.31414320710947446
114,21156,1319,"NEW YOR",200,"GIBSON",51,0.198,-0.493,"No",-1.8569368179937056,-2.1253536131709203
114,21541,1321,"NEW YOR",200,"STEFANIK",31,0.206,0.203,"No",-1.8052039740906554,0.39377069975957646
114,21157,1322,"NEW YOR",200,"HANNA",64,0.229,-0.165,"No",-1.6564720478693853,-0.9381800863875829
114,21101,1323,"NEW YOR",200,"REED",43,0.319,0.027,"No",-1.074477553960068,-0.2432492414412389
114,21542,1324,"NEW YOR",200,"KATKO",52,0.204,0.062,"No",-1.818137185066418,-0.11656913949789495
114,21345,1327,"NEW YOR",200,"COLLINS",65,0.371,0.235,"No",-0.7382140685902401,0.5095925072506337
114,21159,*,"NORTH C",200,"ELLMERS",51,0.403,0.35,"No",-0.5312826929780382,0.9258271279216208
114,29546,*,"NORTH C",200,"JONES",72,0.212,-0.001,"No",-1.7664043411633674,-0.34459332299591405
114,20521,*,"NORTH C",200,"FOXX",72,0.651,0.23,"No",1.072435468016525,0.4914953498301561
114,21543,*,"NORTH C",200,"WALKER",46,0.611,0.045,"No",0.8137712485012726,-0.17809947472751916
114,21544,*,"NORTH C",200,"ROUZER",43,0.589,0.199,"No",0.6715059277678838,0.37929297382319427
114,21346,*,"NORTH C",200,"HUDSON",43,0.675,0.174,"No",1.2276339997256764,0.28880718672080563
114,21347,*,"NORTH C",200,"PITTENGER",67,0.54,0.285,"No",0.35464225886170037,0.6905640814554107
114,20522,4710,"NORTH C",200,"MCHENRY",39,0.591,0.172,"No",0.6844391387436464,0.28156832375261454
114,21348,4711,"NORTH C",200,"MEADOWS",56,0.624,0.021,"Yes",0.8978371198437296,-0.2649658303458121
114,21349,4713,"NORTH C",200,"HOLDING",47,0.671,0.096,"No",1.201767577774151,0.006491530961353467
114,21350,*,"NORTH D",200,"CRAMER",54,0.359,0.372,"No",-0.8158133344448159,1.0054546205717227
114,29550,*,"OHIO",200,"CHABOT",62,0.586,-0.233,"No",0.6521061113042398,-1.1843014273060797
114,21351,*,"OHIO",200,"WENSTRUP",57,0.567,0.297,"No",0.5292406070344949,0.7339972592645572
114,20738,*,"OHIO",200,"JORDAN",51,0.692,-0.062,"Yes",1.337566293019658,-0.5653786435257422
114,20755,*,"OHIO",200,"LATTA",59,0.51,0.329,"No",0.16064409422526107,0.8498190667556146
114,21162,*,"OHIO",200,"JOHNSON",60,0.457,0.214,"No",-0.18208599663244793,0.4335844460846273
114,21165,*,"OHIO",200,"GIBBS",61,0.434,0.375,"No",-0.330817922853718,1.0163129150240096
114,20342,2410,"OHIO",200,"TURNER",55,0.269,0.148,"No",-1.3978078283541329,0.19470196813432158
114,20130,2412,"OHIO",200,"TIBERI",52,0.394,-0.053,"No",-0.58948214236897,-0.5328037601688822
114,21353,2414,"OHIO",200,"JOYCE",58,0.268,0.149,"No",-1.4042744338420143,0.19832139961841713
114,21163,2415,"OHIO",200,"STIVERS",50,0.303,0.172,"No",-1.1779432417661688,0.28156832375261454
114,21164,2416,"OHIO",200,"RENACCI",56,0.387,0.133,"No",-0.6347483807841392,0.1404104958728885
114,21354,*,"OKLAHOM",200,"BRIDENSTIN",40,0.756,-0.004,"Yes",1.7514290442440617,-0.3554516174482007
114,21355,*,"OKLAHOM",200,"MULLIN",38,0.477,0.757,"No",-0.05275388687482211,2.3989357419485065
114,29393,*,"OKLAHOM",200,"LUCAS",55,0.361,0.436,"No",-0.8028801234690532,1.2370982355538376
114,20344,*,"OKLAHOM",200,"COLE",66,0.342,0.381,"No",-0.9257456277387978,1.0380295039285827
114,21546,*,"OKLAHOM",200,"RUSSELL",52,0.533,0.242,"No",0.3093760204465312,0.5349285276393024
114,29932,*,"OREGON",200,"WALDEN",58,0.339,-0.036,"No",-0.9451454442024416,-0.471273424939258
114,21167,*,"PENNSYL",200,"KELLY",67,0.315,0.475,"No",-1.1003439759115932,1.3782560634335634
114,21356,*,"PENNSYL",200,"PERRY",53,0.623,-0.159,"Yes",0.8913705143558482,-0.9164634974830096
114,20946,*,"PENNSYL",200,"THOMPSON",56,0.302,0.426,"No",-1.18440984725405,1.200903920712882
114,21547,*,"PENNSYL",200,"COSTELLO",39,0.249,0.017,"No",-1.5271399381117592,-0.2794435562821943
114,21168,*,"PENNSYL",200,"MEEHAN",59,0.228,0.103,"No",-1.6629386533572665,0.03182755135002223
114,20524,*,"PENNSYL",200,"FITZPATRI",52,0.202,-0.217,"No",-1.8310703960421804,-1.126390523560551
114,20134,*,"PENNSYL",200,"SHUSTER",54,0.381,0.363,"No",-0.673548013711427,0.972879737214863
114,21170,1410,"PENNSYL",200,"MARINO",63,0.349,0.552,"No",-0.8804793893236289,1.6569522877089204
114,21171,1411,"PENNSYL",200,"BARLETTA",59,0.271,0.392,"No",-1.3848746173783704,1.0778432502536337
114,21357,1412,"PENNSYL",200,"ROTHFUS",53,0.472,0.208,"Yes",-0.08508691431422866,0.4118678571800541
114,20526,1415,"PENNSYL",200,"DENT",55,0.242,-0.108,"No",-1.5724061765269282,-0.7318724917941369
114,29752,1416,"PENNSYL",200,"PITTS",76,0.542,0.004,"No",0.367575469837463,-0.3264961655754363
114,20346,1418,"PENNSYL",200,"MURPHY",63,0.254,0.214,"No",-1.4948069106723525,0.4335844460846273
114,29565,*,"SOUTH C",200,"SANFORD",55,0.707,-0.707,"Yes",1.4345653753378775,-2.899911950767366
114,20138,*,"SOUTH C",200,"WILSON",68,0.553,0.126,"No",0.4387081302041574,0.1150744754842197
114,21174,*,"SOUTH C",200,"DUNCAN",49,0.767,-0.091,"Yes",1.822561704610756,-0.6703421565645127
114,21175,*,"SOUTH C",200,"GOWDY",51,0.695,-0.021,"No",1.3569661094833019,-0.4169819526778249
114,21176,*,"SOUTH C",200,"MULVANEY",48,0.764,-0.508,"Yes",1.803161888147112,-2.1796450854323535
114,21359,*,"SOUTH C",200,"RICE",58,0.645,-0.084,"No",1.033635835089237,-0.645006136175844
114,21177,*,"SOUTH D",200,"NOEM",43,0.364,0.498,"No",-0.7834803070054093,1.461502987567761
114,20947,*,"TENNESS",200,"ROE",70,0.485,0.062,"No",-0.00102104297177164,-0.11656913949789495
114,15455,*,"TENNESS",200,"DUNCAN",68,0.6,-0.285,"No",0.7426385881345782,-1.3725118644790477
114,21178,*,"TENNESS",200,"FLEISCHMA",53,0.486,0.344,"No",0.005445562516109669,0.9041105390170476
114,21179,*,"TENNESS",200,"DESJARLAIS",51,0.568,0.145,"Yes",0.5357072125223763,0.18384367368203494
114,21180,*,"TENNESS",200,"BLACK",64,0.577,0.38,"No",0.5939066619133081,1.0344100724444871
114,20351,*,"TENNESS",200,"BLACKBURN",63,0.608,0.228,"No",0.7943714320376286,0.484256486861965
114,21181,*,"TENNESS",200,"FINCHER",42,0.54,0.187,"No",0.35464225886170037,0.33585979601404775
114,20527,*,"TEXAS",200,"GOHMERT",62,0.58,-0.097,"No",0.613306478376952,-0.692058745469086
114,20528,*,"TEXAS",200,"POE",67,0.598,0.123,"Yes",0.7297053771588156,0.10421618103193307
114,29143,*,"TEXAS",200,"JOHNSON",85,0.606,0.347,"No",0.781438221061866,0.9149688334693342
114,21549,*,"TEXAS",200,"RATCLIFFE",49,0.768,0.015,"No",1.8290283100986373,-0.2866824192503854
114,20352,*,"TEXAS",200,"HENSARLIN",58,0.711,0.129,"No",1.4604317972894028,0.12593276993650634
114,15085,*,"TEXAS",200,"BARTON",66,0.532,0.087,"No",0.30290941495864987,-0.026083352395506434
114,20139,*,"TEXAS",200,"CULBERSO",59,0.493,0.507,"No",0.05071180093127883,1.494077870924621
114,29760,*,"TEXAS",200,"BRADY",60,0.519,0.272,"No",0.21884354361619288,0.6435114721621688
114,20530,4910,"TEXAS",200,"MCCAUL",53,0.443,0.138,"No",-0.2726184734627863,0.15850765329336625
114,20531,4911,"TEXAS",200,"CONAWAY",67,0.59,0.451,"No",0.6779725332557651,1.2913897078152707
114,29762,4912,"TEXAS",200,"GRANGER",72,0.39,0.239,"No",-0.6153485643204952,0.5240702331870158
114,29572,4913,"TEXAS",200,"THORNBER",57,0.535,0.345,"No",0.3223092314222938,0.9077299705011431
114,21360,4914,"TEXAS",200,"WEBER",62,0.797,0.315,"No",2.016559869247195,0.799147025978277
114,21182,4917,"TEXAS",200,"FLORES",61,0.597,0.354,"No",0.7232387716709342,0.940304853858003
114,20353,4919,"TEXAS",200,"NEUGEBAUE",65,0.624,0.352,"No",0.8978371198437296,0.9330659908898119
114,15445,4921,"TEXAS",200,"SMITH",67,0.421,0.065,"No",-0.41488379419617505,-0.10571084504560832
114,20948,4922,"TEXAS",200,"OLSON",52,0.53,0.424,"No",0.28997620398288726,1.193665057744691
114,21550,4923,"TEXAS",200,"HURD",38,0.45,0.245,"No",-0.2273522350476171,0.545786822091589
114,20532,4924,"TEXAS",200,"MARCHANT",64,0.595,0.264,"No",0.7103055606951716,0.6145560202894044
114,21364,4925,"TEXAS",200,"WILLIAMS",66,0.596,0.342,"No",0.716772166183053,0.8968716760488567
114,20355,4926,"TEXAS",200,"BURGESS",64,0.554,-0.055,"No",0.4451747356920387,-0.5400426231370733
114,21184,4927,"TEXAS",200,"FARENTHOLD",53,0.519,0.155,"No",0.21884354361619288,0.2200379885229904
114,20356,4931,"TEXAS",200,"CARTER",73,0.464,0.636,"No",-0.13681975821727876,1.9609845323729458
114,29759,4932,"TEXAS",200,"SESSIONS",60,0.587,0.223,"No",0.6585727167921212,0.4661593294414873
114,21551,4936,"TEXAS",200,"BABIN",67,0.74,0.127,"Yes",1.6479633564379608,0.11869390696831525
114,20357,*,"UTAH",200,"BISHOP",64,0.528,0.212,"No",0.27704299300712465,0.4263455831164362
114,21367,*,"UTAH",200,"STEWART",55,0.478,0.342,"No",-0.046287281386940805,0.8968716760488567
114,20949,*,"UTAH",200,"CHAFFETZ",48,0.667,-0.259,"No",1.1759011558226258,-1.2784066458925638
114,21552,*,"UTAH",200,"LOVE",39,0.594,-0.009,"No",0.7038389552072903,-0.3735487748686784
114,20756,*,"VIRGINI",200,"WITTMAN",56,0.383,0.068,"No",-0.6606148027356644,-0.09485255059332168
114,21185,*,"VIRGINI",200,"RIGELL",55,0.432,-0.145,"No",-0.34375113382948064,-0.8657914567056719
114,20143,*,"VIRGINI",200,"FORBES",63,0.403,0.214,"No",-0.5312826929780382,0.4335844460846273
114,21186,*,"VIRGINI",200,"HURT",46,0.571,0.058,"No",0.5551070289860202,-0.1310468654342771
114,39308,*,"VIRGINI",200,"GOODLATT",63,0.487,0.074,"No",0.011912168003990978,-0.07313596168874846
114,21553,*,"VIRGINI",200,"BRAT",51,0.754,-0.487,"Yes",1.738495833268299,-2.103637024266347
114,21191,*,"VIRGINI",200,"GRIFFITH",57,0.515,-0.363,"Yes",0.19297712166466763,-1.6548275202385
114,21555,4010,"VIRGINI",200,"COMSTOCK",56,0.274,0.499,"No",-1.3654748009147264,1.4651224190518566
114,21187,*,"WASHING",200,"HERRERA BE",36,0.396,-0.29,"No",-0.5765489313932074,-1.3906090218995255
114,21556,*,"WASHING",200,"NEWHOUSE",60,0.374,0.135,"No",-0.7188142521265962,0.1476493588410796
114,20535,*,"WASHING",200,"MCMORRIS R",46,0.424,0.208,"No",-0.39548397773253113,0.4118678571800541
114,20536,*,"WASHING",200,"REICHERT",65,0.218,-0.172,"No",-1.7276047082360797,-0.9635161067762517
114,21188,*,"WEST VI",200,"MCKINLEY",68,0.274,0.164,"No",-1.3654748009147264,0.2526128718798503
114,21557,*,"WEST VI",200,"MOONEY",44,0.575,-0.329,"Yes",0.5809734509375455,-1.5317668497792518
114,21558,*,"WEST VI",200,"JENKINS",55,0.296,0.301,"No",-1.223209480181338,0.7484749852009394
114,29939,*,"WISCONS",200,"RYAN",45,0.562,-0.232,"No",0.49690757959508913,-1.180681995821984
114,14657,*,"WISCONS",200,"SENSENBR",72,0.652,-0.605,"No",1.0789020735044061,-2.530729939389621
114,21559,*,"WISCONS",200,"GROTHMAN",60,0.627,-0.201,"No",0.9172369363073735,-1.0684796198150224
114,21189,*,"WISCONS",200,"DUFFY",44,0.53,-0.193,"No",0.28997620398288726,-1.039524167942258
114,21190,*,"WISCONS",200,"RIBBLE",59,0.637,-0.318,"No",0.9819029911861866,-1.4919531034542008
114,20953,*,"WYOMING",200,"LUMMIS",61,0.671,-0.256,"Yes",1.201767577774151,-1.2675483514402772
